単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
    
    よって、連立不等式の解は $x < \frac{3 - \sqrt{29}}{2}$ または $x \geq \frac{3 + \sqrt{29}}{2}$。
","基本例題 $$117$$：連立2次不等式の解法

(1) 次の不等式を解け。

$$
\begin{align*}
&(1)\enspace
\begin{cases}
2x^2 - 5x - 3 < 0 \\
3x^2 - 4x - 4 \leq 0
\end{cases}
\end{align*}
$$

(2) 次の不等式を解け。

$$
2 - 3x - 2x^2 \leq 4x - 2 < x^2
$$
",,,,
2次関数,文章問題を2次不等式に定式化して解くことができる？,2次不等式,,118,2,,,"基本例題 118: 2次不等式と文章題

立方体 A がある。A を縦に 1 cm 縮め、横に 2 cm 縮め、高さを 4 cm 伸ばして直方体 B を作る。また、A を縦に 1 cm 伸ばし、横に 2 cm 伸ばし、高さを 2 cm 縮めた直方体 C を作る。A の体積が、B の体積より大きいが C の体積よりは大きくならないとき、A の 1 辺の長さの範囲を求めよ。
","立方体Aの1辺の長さを $x$ cmとする。このとき、A, B, Cの体積はそれぞれ
\begin{align*}
\text{Aの体積} &= x^3 \\
\text{Bの体積} &= (x-1)(x-2)(x+4) \\
\text{Cの体積} &= (x+1)(x+2)(x-2)
\end{align*}
と表せる。問題文の条件より、
$$
\text{Bの体積} < \text{Aの体積} \leq \text{Cの体積}
$$
であるから、以下の2つの不等式を考える。
\begin{enumerate}
    \item $\text{Bの体積} < \text{Aの体積}$
    \item $\text{Aの体積} \leq \text{Cの体積}$
\end{enumerate}
1つ目の不等式より
\begin{align*}
(x-1)(x-2)(x+4) &< x^3 \\
x^3 + x^2 - 10x + 8 &< x^3 \\
x^2 - 10x + 8 &< 0
\end{align*}
2次方程式 $x^2 - 10x + 8 = 0$ の解を解の公式で求めると
$$
x = \frac{10 \pm \sqrt{100 - 32}}{2} = 5 \pm \sqrt{17}
$$
したがって、$x^2 - 10x + 8 < 0$ の解は $5 - \sqrt{17} < x < 5 + \sqrt{17}$。
2つ目の不等式より
\begin{align*}
x^3 &\leq (x+1)(x+2)(x-2) \\
x^3 &\leq x^3 + x^2 - 4x - 4 \\
0 &\leq x^2 - 4x - 4
\end{align*}
2次方程式 $x^2 - 4x - 4 = 0$ の解を解の公式で求めると
$$
x = \frac{4 \pm \sqrt{16 + 16}}{2} = 2 \pm 2\sqrt{2}
$$
したがって、$x^2 - 4x - 4 \geq 0$ の解は $x \leq 2 - 2\sqrt{2}$ または $x \geq 2 + 2\sqrt{2}$。

$x$ は立方体の1辺の長さなので$x > 0$である。また、$5 - \sqrt{17} \approx 0.877$, $5+\sqrt{17} \approx 9.123$, $2-2\sqrt{2} \approx -0.828$, $2+2\sqrt{2} \approx 4.828$ であるから、2つの不等式を満たす$x$の範囲は、$2 + 2\sqrt{2} \leq x < 5+\sqrt{17}$。
","- **文章問題を解く**ためには、まず問題文を**数式で表現する**ことが重要だよ。この問題では、立方体や直方体の体積を  $$x $$ を使った式で表すことから始めよう。
- **不等式を立てる**とき、問題文の条件を正確に読み取ることが大切だよ。「Aの体積が、Bの体積より大きいが C の体積よりは大きくならない」という部分は、「B の体積 < A の体積 ≦ C の体積」というように、2つの不等式に分けて考える必要があるよ。
- **2次不等式を解く**ためには、まず2次方程式を解いて、解の公式や因数分解を利用して解を求める。そして、グラフをイメージして、不等式の解の範囲を正しく求めるんだ。
- **解の吟味**をすることを忘れないでね。今回は $$x $$は長さなので、 $$x>0 $$という条件があるよ。2つの不等式から求めた解の範囲と、 $$x>0 $$という条件を組み合わせて、最終的な答えを出す必要がある。
- **近似値**を使うことで、具体的な数値をイメージしやすくなるよ。 $$\sqrt{17} $$や $$\sqrt{2} $$のような無理数が出てきたら、近似値を計算して、解の範囲が具体的にどのあたりなのか把握するのに役立てよう。
","直方体 A がある。A を縦に 2 cm 伸ばし、横に 1 cm 縮め、高さを 3 cm 伸ばして直方体 B を作る。また、A を縦に 1 cm 縮め、横に 2 cm 伸ばし、高さを 1 cm 縮めた直方体 C を作る。A の体積が、B の体積より小さいが C の体積よりは小さくならないとき、A の縦の長さの範囲を求めよ。ただし、A の縦、横、高さは全て正の数とする。また、A の横の長さと高さは等しいとする。
","練習問題の解答例：

直方体 A の縦の長さを $x$ cm、横と高さを $y$ cmとする。このとき、A, B, C の体積はそれぞれ
\begin{align*}
\text{A の体積} &= xy^2 \\
\text{B の体積} &= (x+2)(y-1)(y+3) \\
\text{C の体積} &= (x-1)(y+2)(y-1)
\end{align*}
と表せる。問題文の条件より、
$$
\text{C の体積} \leq \text{A の体積} < \text{B の体積}
$$
であるから、以下の2つの不等式を考える。
\begin{enumerate}
    \item $\text{C の体積} \leq \text{A の体積}$
    \item $\text{A の体積} < \text{B の体積}$
\end{enumerate}

1つ目の不等式より
\begin{align*}
(x-1)(y+2)(y-1) &\leq xy^2 \\
(x-1)(y^2 + y - 2) &\leq xy^2 \\
xy^2 + xy - 2x - y^2 - y + 2 &\leq xy^2 \\
xy - 2x - y^2 - y + 2 &\leq 0 \\
(y-2)x &\leq y^2 + y - 2 \quad \cdots (1)
\end{align*}

2つ目の不等式より
\begin{align*}
xy^2 &< (x+2)(y-1)(y+3) \\
xy^2 &< (x+2)(y^2 + 2y - 3) \\
xy^2 &< xy^2 + 2xy - 3x + 2y^2 + 4y - 6 \\
0 &< 2xy - 3x + 2y^2 + 4y - 6 \\
0 &< (2y-3)x + 2y^2 + 4y - 6 \\
(3-2y)x &< 2y^2 + 4y - 6 \quad \cdots (2)
\end{align*}

ここで、$x$ は正の数なので、$y$ の値によって場合分けを行う。
まず、$y = 2$ のとき、(1)は $0 \leq 4$ となり常に成立する。また、(2)は $-x < 10$ となり、$x>0$より常に成立する。したがって、$y=2$ のとき、すべての $x > 0$ が条件を満たすことになる。

次に、$y < 2$ のとき、(1)式より
\begin{align*}
x &\geq \frac{y^2 + y - 2}{y - 2}
\end{align*}
(2)式より
\begin{align*}
x &> \frac{2y^2 + 4y - 6}{3 - 2y}
\end{align*}
ここで、$y$ は正の数より、$0< y < 2$ の範囲で考える。
$f(y)=\frac{y^2 + y - 2}{y - 2}$, $g(y) = \frac{2y^2 + 4y - 6}{3 - 2y}$ とおくと、$f(y)$は、$y=1$のとき$0$、$y=0$のとき$1$となる。また、$g(y)$は、$y=1$のとき$0$、$y=0$のとき$-2$となる。また、
\begin{align*}
f(y) &= \frac{y^2+y-2}{y-2} = \frac{(y+2)(y-1)}{y-2} \\
g(y) &= \frac{2y^2+4y-6}{3-2y} = \frac{2(y+3)(y-1)}{3-2y}
\end{align*}
である。$f(y)$と$g(y)$は、$y=1$のとき両方とも0となる。
また、$0 < y < 2$ において、$f(y)$と$g(y)$の値は、$0 < y < 1$ で負、$y = 1$で 0、$1 < y < 2$ で正となる。
したがって、$y < 2$ のとき、$x$ は常に正の数なので、不等式を満たすためには $y = 1$ の場合のみ考えれば良い。
$y=1$ のとき、$x \geq 0$ かつ、$x > 0$となり、$x > 0$ となる。

最後に、$y > 2$ のとき、(1)式より
\begin{align*}
x &\leq \frac{y^2 + y - 2}{y - 2}
\end{align*}
(2)式より
\begin{align*}
x &< \frac{2y^2 + 4y - 6}{3 - 2y}
\end{align*}
ここで、$y > 2$ の範囲で考える。
$f(y)=\frac{y^2 + y - 2}{y - 2}$, $g(y) = \frac{2y^2 + 4y - 6}{3 - 2y}$ とおくと、$f(y)$は、$y > 2$ において、$f(y) > 0$である。また、$g(y)$は、$y > 2$ において、$g(y) < 0$となる。したがって、$y > 2$ において、$x \leq f(y)$ かつ、$x < g(y)$ を満たすことはありえない。

したがって、A の縦の長さ $x$ の範囲は、$y = 2$ のとき、$x > 0$ であり、$y = 1$ のとき、$x > 0$ となる。
 
以上より、A の縦の長さ $x$ は任意の正の数となる。
","基本例題 $$118$$：2次不等式と文章題

立方体 $$ \mathrm{A} $$ がある。$$ \mathrm{A} $$ を縦に $$1$$ cm 縮め、横に $$2$$ cm 縮め、高さを $$4$$ cm 伸ばして直方体 $$ \mathrm{B} $$ を作る。また、$$ \mathrm{A} $$ を縦に $$1$$ cm 伸ばし、横に $$2$$ cm 伸ばし、高さを $$2$$ cm 縮めた直方体 $$ \mathrm{C} $$ を作る。$$ \mathrm{A} $$ の体積が、$$ \mathrm{B} $$ の体積より大きいが $$ \mathrm{C} $$ の体積よりは大きくならないとき、$$ \mathrm{A} $$ の $$1$$ 辺の長さの範囲を求めよ。

Let $$x$$ be the length of a side of cube A.
Then the volume of A is $$x^3$$.

The volume of B is $$(x-1)(x-2)(x+4)$$.
The volume of C is $$(x+1)(x+2)(x-2)$$.

The condition is
$$ x^3 > (x-1)(x-2)(x+4) \quad \text{and} \quad x^3 \le (x+1)(x+2)(x-2) $$

$$
\begin{align*} &(1) \enspace x^3 > (x-1)(x-2)(x+4) \\ &(2) \enspace x^3 \le (x+1)(x+2)(x-2) \end{align*}
$$

$$ (1) $$ より
$$ x^3 > x^3 + x^2 - 10x + 8 $$
$$ 0 > x^2 - 10x + 8 $$
$$ x = \frac{10 \pm \sqrt{100 - 32}}{2} = 5 \pm \sqrt{17} $$
よって $$ 5 - \sqrt{17} < x < 5 + \sqrt{17} $$

$$ (2) $$ より
$$ x^3 \le x^3 + x^2 - 4x - 4 $$
$$ 0 \le x^2 - 4x - 4 $$
$$ x = \frac{4 \pm \sqrt{16 + 16}}{2} = 2 \pm 2\sqrt{2} $$
よって $$ x \le 2 - 2\sqrt{2} , \quad x \ge 2 + 2\sqrt{2} $$

$x>0$ より、$$ 2 + 2\sqrt{2} \le x < 5 + \sqrt{17} $$

したがって、$$ 2 + 2\sqrt{2} \le x < 5 + \sqrt{17} $$


",,,,
2次関数,3x^2+2x-1<0 を満たす整数解は？,2次不等式,120（一部）,,1,,,,"解くべき不等式は $3x^2 + 2x - 1 < 0$ である。

まず、左辺を因数分解すると、$(3x - 1)(x + 1) < 0$ となる。

次に、この不等式を満たす $x$ の範囲を求める。
$(3x - 1)(x + 1) = 0$ となる $x$ の値は $x = -1$ と $x = \frac{1}{3}$ である。
これらの値を数直線上に書き込むと、$x$ の範囲は $-1 < x < \frac{1}{3}$ となる。

この範囲に含まれる整数は、$x=0$ のみである。

したがって、与えられた不等式を満たす整数解は $0$ である。
","**2次不等式を解く基本的な流れを理解し、数直線を用いて解の範囲を正確に求めることができるようにしよう。** 特に以下の点を意識しよう。

*   **因数分解**: 2次式を因数分解することで、不等式の解を求めるための重要な手がかりを得られる。
*   **数直線**: 2次不等式の解の範囲を数直線上に可視化することで、解がどの範囲にあるかを正確に把握できる。
*   **整数解**: 求めた解の範囲から、問題で要求された整数解を正確に読み取ることができる。
","練習問題：

1.  次の2次不等式を解き、その解を数直線上に図示しなさい。
    
    (1) $x^2 - 5x + 6 < 0$
    
    (2) $2x^2 + 3x - 2 \geq 0$
    
    (3) $-x^2 + 4x + 5 > 0$
    
2.  次の不等式を満たす整数解をすべて求めなさい。
    
    (1) $x^2 - 2x - 3 < 0$
    
    (2) $3x^2 - 5x + 2 \leq 0$
    
    (3) $-2x^2 + 7x - 3 > 0$
    
3.  ある2次不等式の解が $-2 < x < 3$ であるとき、その2次不等式を一つ作りなさい。（ヒント：解の境界となる値を使い、因数分解された形を考えてみよう。）
    
4.  不等式 $x^2 - 4x + a < 0$ が解をもつような定数 $a$ の範囲を求めなさい。また、その解がすべての実数となるような $a$ の範囲を求めなさい。（ヒント：判別式を利用しよう。判別式については教科書を復習しよう。）

5. 不等式 $x^2 + (k-1)x + 1 > 0$ がすべての実数 $x$ に対して成り立つような定数 $k$ の範囲を求めなさい。
","練習問題の解答：

1.  
    (1) $x^2 - 5x + 6 < 0$

        左辺を因数分解すると、$(x - 2)(x - 3) < 0$ となる。
        $(x - 2)(x - 3) = 0$ となる $x$ の値は $x = 2$ と $x = 3$ である。
        数直線上にこれらを書き込むと、不等式を満たす $x$ の範囲は $2 < x < 3$ となる。
        数直線は省略します。
    
    (2) $2x^2 + 3x - 2 \geq 0$
    
        左辺を因数分解すると、$(2x - 1)(x + 2) \geq 0$ となる。
        $(2x - 1)(x + 2) = 0$ となる $x$ の値は $x = -2$ と $x = \frac{1}{2}$ である。
        数直線上にこれらを書き込むと、不等式を満たす $x$ の範囲は $x \leq -2$ または $x \geq \frac{1}{2}$ となる。
        数直線は省略します。

    (3) $-x^2 + 4x + 5 > 0$
    
        両辺に -1 をかけると、$x^2 - 4x - 5 < 0$ となる（**不等号の向きが変わることに注意！**）。
        左辺を因数分解すると、$(x - 5)(x + 1) < 0$ となる。
        $(x - 5)(x + 1) = 0$ となる $x$ の値は $x = -1$ と $x = 5$ である。
        数直線上にこれらを書き込むと、不等式を満たす $x$ の範囲は $-1 < x < 5$ となる。
        数直線は省略します。
2.  
    (1) $x^2 - 2x - 3 < 0$
    
        左辺を因数分解すると、$(x - 3)(x + 1) < 0$ となる。
        $(x - 3)(x + 1) = 0$ となる $x$ の値は $x = -1$ と $x = 3$ である。
        数直線上にこれらを書き込むと、不等式を満たす $x$ の範囲は $-1 < x < 3$ となる。
        この範囲に含まれる整数解は $x = 0, 1, 2$ である。
    
    (2) $3x^2 - 5x + 2 \leq 0$
    
        左辺を因数分解すると、$(3x - 2)(x - 1) \leq 0$ となる。
        $(3x - 2)(x - 1) = 0$ となる $x$ の値は $x = \frac{2}{3}$ と $x = 1$ である。
        数直線上にこれらを書き込むと、不等式を満たす $x$ の範囲は $\frac{2}{3} \leq x \leq 1$ となる。
         この範囲に含まれる整数解は $x=1$ である。
    
    (3) $-2x^2 + 7x - 3 > 0$
    
        両辺に -1 をかけると、$2x^2 - 7x + 3 < 0$ となる（**不等号の向きが変わることに注意！**）。
        左辺を因数分解すると、$(2x - 1)(x - 3) < 0$ となる。
        $(2x - 1)(x - 3) = 0$ となる $x$ の値は $x = \frac{1}{2}$ と $x = 3$ である。
        数直線上にこれらを書き込むと、不等式を満たす $x$ の範囲は $\frac{1}{2} < x < 3$ となる。
        この範囲に含まれる整数解は $x = 1, 2$ である。
3.  解が $-2 < x < 3$ であることから、解の境界は $x=-2$ と $x=3$ である。
    このことから、$(x+2)(x-3)<0$となる不等式を考えれば良い。
    展開して、$x^2 - x - 6 < 0$となる。
    （**これは一つの例であり、他にも答えはあります**。）
4.  $x^2 - 4x + a < 0$ が解を持つ条件は、$x^2 - 4x + a = 0$ の判別式 $D$ が $D > 0$ であることである。
    $D = (-4)^2 - 4(1)(a) = 16 - 4a > 0$ となるので、$a < 4$ である。
    
    また、この解がすべての実数となるような$a$は存在しない。
    （**下に凸の二次関数は必ず最小値を持つため、常に負の値になることはない**）
5.  $x^2 + (k-1)x + 1 > 0$ がすべての実数 $x$ に対して成り立つ条件は、$x^2 + (k-1)x + 1 = 0$ の判別式 $D$ が $D < 0$ であることである。
    $D = (k-1)^2 - 4(1)(1) = k^2 - 2k + 1 - 4 = k^2 - 2k - 3 < 0$
    これを因数分解すると$(k-3)(k+1)<0$となるので、$-1<k<3$となる。
",,,,,
2次関数,二つの2次不等式を同時に満たすような整数解が存在するような2次不等式の形を決定することができる（例題参照）,2次不等式,,120,4,,,"\textbf{重要例題 120 連立2次不等式が整数解をもつ条件}
$x$ についての連立不等式 $x^2 - (a+1)x + a < 0, 3x^2 + 2x - 1 > 0$ を同時に満たす整数 $x$ がちょうど3つ存在するような定数 $a$ の値の範囲を求めよ。
","$x^2 - (a+1)x + a < 0$ を因数分解すると、$(x-1)(x-a)<0$ となる。
$3x^2 + 2x - 1 > 0$ を因数分解すると、$(3x-1)(x+1)>0$ となる。
したがって、$x < -1, \frac{1}{3} < x$ である。
$(x-1)(x-a)<0$ の解は、$a<1$ のとき $a<x<1$, $a=1$ のとき解なし, $a>1$ のとき $1<x<a$ となる。
$3x^2 + 2x - 1 > 0$ の解を数直線上に図示すると、$x<-1$ または $1/3<x$ である。

ここで、$x^2 - (a+1)x + a < 0$ と $3x^2 + 2x - 1 > 0$ を同時に満たす整数 $x$ がちょうど3つ存在する必要がある。

$a<1$ の場合、$a<x<1$ と $x<-1$ または $1/3<x$ を同時に満たす整数解は存在しない。なぜなら$x<1$より$1/3 < x$ を満たす整数解は存在しないためである。したがって、$a<1$の場合は不適。

したがって、$a>1$ の場合を考える。
$1<x<a$と、$x<-1$または$1/3<x$を同時に満たす整数解がちょうど3つになる必要がある。$1<x$かつ$1/3<x$を満たす整数解の最小値は$2$であるから、残りの2つの解は$x<-1$を満たす整数解である必要がある。
$x<-1$を満たす整数解で大きい方から順に並べると$-2,-3,-4,\ldots$となる。
したがって、連立不等式を満たす整数解がちょうど3つであるためには、整数解が$2,-2,-3$となる必要がある。
$1<x<a$より、$1<2<a$である。
$-2$と$-3$が解になるためには、$a$が$-2$より大きい必要がある。
$-4$が解にならないためには、$a$が$-3$以下である必要がある。
$1<x<a$より、$a$は整数ではない可能性があるため、$1 < 2 < a$より$a>2$が必要である。
$-3$が解となるためには、$a>-3$が必要である。
$-4$が解とならないためには、$a\le-3$は誤りであり、$a<-3$は誤りである。つまり、$a>-4$である必要がある。
したがって、連立不等式を満たす整数解が$2, -2, -3$であるためには、$3<a\le4$を満たす必要がある。
$x=-2$が解であるためには$1<x<a$を満たす必要があるため、$a>-2$である。
$x=-3$が解であるためには、$a>-3$である。
$x=-4$が解でないためには、$a\leq -4$は誤りである。したがって、$a>-4$である。
まとめると、連立不等式を満たす整数解が$2,-2,-3$であるためには、$3<a\leq4$である必要がある。
このとき、$a=4$のとき、$1<x<4$となるので、整数解は$2,3$となる。したがって、解が3つにならないので不適。
よって、連立不等式を満たす整数解が$2, -2, -3$であるためには、$3<a<4$である。
したがって、$a$の範囲は $3<a\le 4$となる。
","- **2次不等式の解**は、**グラフ（放物線）とx軸の位置関係**を考えることで求められることを理解しよう。特に、因数分解できる場合は、**x軸との交点**が解を求めるための重要な情報になる。
- **連立不等式**の問題は、**それぞれの不等式の解を数直線上に図示する**ことで、共通範囲を視覚的に捉えることができる。数直線は連立不等式の強い味方だよ！
- **不等式の解に整数解が含まれる条件**を考えるとき、**具体的な整数を代入して考える**と分かりやすい。特に、今回は解が「ちょうど3つ」という条件があるので、**どの整数が解になるのか、ならないのか**を丁寧に考えることが重要。
- **解の範囲に境界を含むか含まないか**は、**不等号の種類（＜, ≦）**によって決まる。今回の問題のように、「ちょうど3つ」という条件がある場合は、**境界の値が解に含まれるかどうか**で場合分けが必要になることもあるので注意しよう。
- 今回は、**未知数  $$a $$ を含む不等式**を解く必要があった。** $$a $$ の値によって解の形が変わる**ことに注意して、場合分けをしながら考える必要がある。
- 2次不等式を解く際に、因数分解できる場合は**因数分解**を利用しよう。因数分解ができない場合は、**解の公式**を使うか、**平方完成**してグラフの頂点から解の範囲を特定することを試みよう。
","問題1：
連立不等式
\begin{align*}
    x^2 - 5x + 4 < 0 \\
    x^2 - (a+3)x + 3a > 0
\end{align*}
を同時に満たす整数 $x$ がちょうど2つ存在するような定数 $a$ の値の範囲を求めよ。

問題2：
連立不等式
\begin{align*}
    x^2 - 2x - 3 \leq 0 \\
    x^2 - (a-1)x -a < 0
\end{align*}
を同時に満たす整数 $x$ がちょうど3つ存在するような定数 $a$ の値の範囲を求めよ。

問題3：
連立不等式
\begin{align*}
    2x^2 - 7x + 3 < 0 \\
    x^2 - (a+2)x + 2a \geq 0
\end{align*}
を同時に満たす整数 $x$ がちょうど1つ存在するような定数 $a$ の値の範囲を求めよ。
","問題1の解答：

まず、それぞれの不等式を解きます。

$x^2 - 5x + 4 < 0$ は、因数分解すると $(x-1)(x-4) < 0$ となるので、解は $1 < x < 4$ です。

$x^2 - (a+3)x + 3a > 0$ は、因数分解すると $(x-3)(x-a) > 0$ となります。
この不等式の解は、$a < 3$ のとき $x<a$ または $3<x$、$a=3$のとき解なし、$a>3$のとき $x<3$ または $a<x$ となります。

$1<x<4$を満たす整数は$2, 3$です。連立不等式を同時に満たす整数解がちょうど2つであるためには、$a$の値によって場合分けが必要になります。

\begin{enumerate}
    \item $a<1$のとき
        $x^2 - (a+3)x + 3a > 0$の解は$x < a$ または $3 < x$となるので、$1<x<4$との共通範囲は、$3 < x < 4$のみとなり、整数解は$3$の１つのみとなるので不適。

    \item $a=1$のとき
        $x^2 - (a+3)x + 3a > 0$の解は$x < 1$ または $3 < x$となるので、$1<x<4$との共通範囲は、$3 < x < 4$のみとなり、整数解は$3$の１つのみとなるので不適。

    \item $1<a<3$のとき
        $x^2 - (a+3)x + 3a > 0$の解は$x < 3$ または $a < x$となるので、$1<x<4$との共通範囲は、$a < x < 3$または$3 < x < 4$となります。
        $1<x<4$を満たす整数は$2, 3$なので、これらの整数解がちょうど２つであるためには、$1< a \leq 2$である必要があります。なぜなら、$a>2$の場合、整数解が$2, 3$の２つになってしまい、さらに$a=2$の場合、$2<x<3$に整数解がないため、$x=3$のみとなり、ちょうど２つの整数解を持たないためである。
        したがって、$1<a\leq2$のとき、連立不等式を満たす整数解は$2,3$の２つとなり、これは題意を満たす。
    \item $a=3$のとき
        $x^2 - (a+3)x + 3a > 0$の解は存在しないので、不適。
    \item $3<a<4$のとき
        $x^2 - (a+3)x + 3a > 0$の解は$x < 3$ または $a < x$となるので、$1<x<4$との共通範囲は、$1<x<3$となり、整数解は$2$のみとなるので不適。
    \item $a=4$のとき
        $x^2 - (a+3)x + 3a > 0$の解は$x < 3$ または $4 < x$となるので、$1<x<4$との共通範囲は、$1<x<3$となり、整数解は$2$のみとなるので不適。
    \item $4<a$のとき
        $x^2 - (a+3)x + 3a > 0$の解は$x < 3$ または $a < x$となるので、$1<x<4$との共通範囲は、$1<x<3$となり、整数解は$2$のみとなるので不適。
\end{enumerate}

したがって、$a$ の値の範囲は、$1<a\leq2$となります。

問題2の解答：

まず、それぞれの不等式を解きます。

$x^2 - 2x - 3 \leq 0$ は、因数分解すると $(x+1)(x-3) \leq 0$ となるので、解は $-1 \leq x \leq 3$ です。

$x^2 - (a-1)x - a < 0$ は、因数分解すると $(x+1)(x-a) < 0$ となります。
この不等式の解は、$a < -1$ のとき $a < x < -1$、$a = -1$ のとき解なし、$a > -1$ のとき $-1 < x < a$ となります。

$-1 \leq x \leq 3$ を満たす整数は $-1, 0, 1, 2, 3$ の5つです。連立不等式を同時に満たす整数解がちょうど3つであるためには、$a$の値によって場合分けが必要になります。

\begin{enumerate}
    \item $a<-1$ のとき
    $x^2 - (a-1)x - a < 0$ の解は $a<x<-1$ となる。したがって、$-1\leq x\leq 3$ との共通範囲に整数解が存在しないので不適。
    \item $a=-1$ のとき
     $x^2 - (a-1)x - a < 0$ の解は存在しないので、不適。
    \item $-1<a<0$ のとき
    $x^2 - (a-1)x - a < 0$ の解は $-1<x<a$ となる。したがって、$-1\leq x\leq 3$との共通範囲は$-1<x<a$となる。このとき、整数解は0の１つのみとなるため不適。
    \item $a=0$ のとき
    $x^2 - (a-1)x - a < 0$ の解は $-1<x<0$ となる。したがって、$-1\leq x\leq 3$との共通範囲は$-1<x<0$となる。このとき、整数解は存在しないため不適。
    \item $0<a\leq1$ のとき
    $x^2 - (a-1)x - a < 0$ の解は $-1<x<a$ となる。したがって、$-1\leq x\leq 3$との共通範囲は$-1<x<a$となる。このとき、整数解がちょうど３つになるためには、整数解が$0, 1$となる必要があるので、不適。
    \item $1<a\leq2$ のとき
     $x^2 - (a-1)x - a < 0$ の解は $-1<x<a$ となる。したがって、$-1\leq x\leq 3$との共通範囲は$-1<x<a$となる。このとき、整数解がちょうど３つになるためには、整数解が$0,1,2$となる必要があるので、$1<a\le2$であれば題意を満たす。
    \item $2<a\leq3$のとき
    $x^2 - (a-1)x - a < 0$ の解は $-1<x<a$ となる。したがって、$-1\leq x\leq 3$との共通範囲は$-1<x<a$となる。このとき、整数解がちょうど３つになるためには、整数解が$0,1,2$となる必要があるので、$a\leq3$の場合は整数解が$0,1,2,3$となってしまうので不適。
    \item $3<a$のとき
    $x^2 - (a-1)x - a < 0$ の解は $-1<x<a$ となる。したがって、$-1\leq x\leq 3$との共通範囲は$-1<x\leq3$となるため、整数解は$-1,0,1,2,3$の5つとなり不適。
\end{enumerate}

したがって、$a$ の値の範囲は、$1<a\leq2$となります。

問題3の解答：

まず、それぞれの不等式を解きます。

$2x^2 - 7x + 3 < 0$ は、因数分解すると $(2x-1)(x-3) < 0$ となるので、解は $\frac{1}{2} < x < 3$ です。

$x^2 - (a+2)x + 2a \geq 0$ は、因数分解すると $(x-2)(x-a) \geq 0$ となります。
この不等式の解は、$a < 2$ のとき $x \leq a$ または $2 \leq x$、$a=2$のとき$x\neq2$を満たすすべての実数、$a>2$のとき $x \leq 2$ または $a \leq x$ となります。

$\frac{1}{2} < x < 3$ を満たす整数は $1, 2$ の2つです。連立不等式を同時に満たす整数解がちょうど1つであるためには、$a$の値によって場合分けが必要になります。

\begin{enumerate}
    \item $a < 1/2$ のとき
    $x^2 - (a+2)x + 2a \geq 0$ の解は $x \leq a$ または $2 \leq x$ となるため、 $\frac{1}{2} < x < 3$ との共通範囲は $2\leq x <3$ となる。このとき、整数解は2のみとなるため題意を満たす。
    \item $a=1/2$ のとき
     $x^2 - (a+2)x + 2a \geq 0$ の解は $x \leq 1/2$ または $2 \leq x$ となるため、$\frac{1}{2} < x < 3$との共通範囲は $2\leq x <3$ となる。このとき、整数解は2のみとなるため題意を満たす。
    \item $1/2 < a < 1$ のとき
     $x^2 - (a+2)x + 2a \geq 0$ の解は $x \leq a$ または $2 \leq x$ となるため、$\frac{1}{2} < x < 3$との共通範囲は $2\leq x <3$ となる。このとき、整数解は2のみとなるため題意を満たす。
    \item $a=1$ のとき
     $x^2 - (a+2)x + 2a \geq 0$ の解は $x \leq 1$ または $2 \leq x$ となるため、$\frac{1}{2} < x < 3$との共通範囲は $1< x\leq 1$または$2 \leq x <3$となる。このとき、整数解は2のみとなるため題意を満たす。
     \item $1 < a < 2$ のとき
     $x^2 - (a+2)x + 2a \geq 0$ の解は $x \leq a$ または $2 \leq x$ となるため、$\frac{1}{2} < x < 3$との共通範囲は、$1/2 < x \leq a$または$2 \leq x < 3$となる。このとき、整数解がちょうど1つになるためには、$a<2$である必要がある。$1<a<2$を満たす$a$を考えると、$1<a\leq 3/2$のときのみ整数解は2のみとなるため題意を満たす。$3/2<a<2$のときは整数解が1,2となるため不適。
    \item $a=2$ のとき
    $x^2 - (a+2)x + 2a \geq 0$ の解は $x\neq2$を満たすすべての実数となるため、$\frac{1}{2} < x < 3$との共通範囲は$\frac{1}{2} < x < 2$または$2 < x < 3$となる。整数解は1と2の2つとなるため不適。
    \item $2<a$のとき
     $x^2 - (a+2)x + 2a \geq 0$ の解は $x \leq 2$ または $a \leq x$ となるため、$\frac{1}{2} < x < 3$との共通範囲は$\frac{1}{2} < x \leq 2$となる。整数解は1,2の2つとなるため不適。
\end{enumerate}

したがって、$a$ の値の範囲は、$a\leq 1$または$1<a\leq3/2$となる。よって、$a\leq3/2$となります。
","重要例題 $$120$$：連立2次不等式が整数解をもつ条件

$$x$$ についての連立不等式 $$x^2 - (a+1)x + a < 0, 3x^2 + 2x - 1 > 0$$ を同時に満たす整数 $$x$$ がちょうど3つ存在するような定数 $$a$$ の値の範囲を求めよ。
",,,,
2次関数,絶対値のついた2次不等式を 解く方法が分かる？,2次不等式,,124,3,,,"\textbf{基本例題 124 絶対値を含む2次不等式}
不等式 $|x^2 -2x -3|\ge 3-x$ を解け。
","$|x^2 - 2x - 3| \geq 3 - x$ という不等式を解くためには、絶対値記号を外す必要がある。絶対値の中身の符号によって場合分けをして考える。

(1) $x^2 - 2x - 3 \geq 0$ のとき

